Step,Scaffold,SMILES,bioactivity,raw_bioactivity,total_score,ID
92.0,O=C(NCC1CCCN1)c1ccc2nc(N3CCN(C4CCN(C5CCCCC5)CC4)CC3)[nH]c2c1,CCN1CCCC1CNC(=O)c1ccc2nc(N3CCN(C4CCN(C5CCCCC5(C)C)CC4)CC3)[nH]c2c1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_31
99.0,O=C(Nc1cc(C(=O)NCC2CCCN2)c(NC2CCOCC2)cc1N1CCN(C2CCN(Cc3ccccc3)CC2)CC1)c1cscn1,CCN1CCCC1CNC(=O)c1cc(NC(=O)c2cscn2)c(N2CCN(C3CCN(Cc4ccc(C#N)cc4)CC3)CC2)cc1NC1CCOCC1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_32
29.0,O=C(NCC1CCCN1)c1c[nH]c(=O)[nH]c1=O,CCNc1[nH]c(=O)n(O)c(=O)c1C(=O)NCC1CCCN1CC,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_33
93.0,N=c1[nH]c(-c2cccc(N3CCN(C4CC4)CC3)c2)cn2nc(-c3ccc(CN4CCNCC4)cc3)nc12,COCCN=c1[nH]c(-c2cccc(N3CCN(C4CC4)CC3)c2)cn2nc(-c3ccc(CN4CCN(CCO)CC4)cc3)nc12,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_34
96.0,O=C(OC1CCCC(OC(=O)N2CCN(C3CCN(C4CCNCC4)CC3)CC2)CC1)N1CCNCC1,N=C(N)NCCCCC(=O)N1CCN(C(=O)OC2CCCC(OC(=O)N3CCN(C4CCN(C5CCN(CCO)CC5)CC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_35
96.0,O=C(NC1CC2CCC(C1)N(CCCN1CCNCC1)C2)N1CCN(C2CCCCC2)CC1,O=C(NC1CC2CCC(C1)N(CCCN1CCN(CCO)CC1)C2)N1CCN(C2CCCCC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_36
5.0,c1ccc(C2CC(N3CCN(C4CCCCC4)CC3)c3ccccc32)cc1,COc1ccc2c(c1)C(c1ccc(F)cc1)CC2N1CCN(C2CCCCC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_37
86.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_38
69.0,c1ccc(C2CC(N3CCC(CN4CCN(C5CCCC5)CC4)CC3)c3ccccc32)cc1,Cc1ccc2c(c1)C(N1CCC(CN3CCN(C4CCCC4)CC3)CC1)CC2c1ccc(F)cc1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_39
94.0,O=C(c1cc(N2CCNCC2)nc2ccccc12)N1CCC(N2CCNCC2)CC1,Cc1c(N2CCN(CCO)CC2)nc2ccc(F)cc2c1C(=O)N1CCC(N2CCN(CCO)CC2)C(F)(F)C1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_40
84.0,C1CCCC(N2CCC(N3CCN(C4CCC(N5CCNCC5)CC4)CC3)CC2)CCC1,OCCN1CCN(C2CCC(N3CCN(C4CCN(C5CCCCCCC5)CC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_41
65.0,c1c(N2CCNCC2)cc(N2CCN(C3CCN(C4CCCCCC4)CC3)CC2)cc1N1CCNCC1,Nc1c(N2CCN(CCO)CC2)cc(N2CCN(C3CCN(C4CCCCCC4)CC3)CC2)c(F)c1N1CCN(CCO)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_42
64.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_43
98.0,O=C(CCN1CCCC1C(=O)N1CCCC1CCN1CCNCC1)N1CCN(C2CCCCC2)CC1,O=C(CCN1CCCC1C(=O)N1CCCC1CCN1CCN(CCO)CC1)N1CCN(C2CCCCC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_44
91.0,c1cc(CN2CCCC(N3CCNCC3)C2)oc1CN1CCN(C2CCCCC2)CC1,OCCC1C(N2CCN(CCO)CC2)CCCN1Cc1ccc(CN2CCN(C3CCCCC3)CC2)o1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_45
84.0,c1ccc2c(c1)CCc1ccccc1C2N1CCN(C2CCC(N3CCNCC3)CC2)CC1,OCCN1CCN(C2CCC(N3CCN(C4c5ccc(F)cc5CCc5ccc(F)cc54)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_46
85.0,C1CCCC(N2CCC(N3CCC(N4CCN(C5CCNCC5)CC4)CC3)CC2)CCC1,OCCC1CN(C2CCN(C3CCCCCCC3)CC2)CCC1N1CCN(C2CCN(CCO)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_47
5.0,O=C(NCC1CCCN1)C(=O)Nc1ccccc1,CCN1CCCC1CNC(=O)C(=O)Nc1c(OC)cc(OC)cc1OC,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_48
78.0,O=C(CN1CCN(CC2CCCCC2)CC12CCC(N1CCNCC1)CC2)Nc1ccccc1,O=C(CN1CCN(CC2CCCCC2)CC12CCC(N1CCN(CCO)CC1)CC2)Nc1cc(Cl)cc(Cl)c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_49
98.0,O=C(c1ccccc1)N1CC(C(=O)N2CCN(C3CCCCC3)CC2)CC(N2CCN(C3CCNCC3)CC2)C1,O=C(c1ccccc1)N1CC(C(=O)N2CCN(C3CCCCC3)CC2)CC(N2CCN(C3CCN(CCO)CC3)CC2)C1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_50
75.0,O=C(C=Cc1ccccc1)NC1CCC(N2CCC(C(CCN3CCC(N4CCNCC4)CC3)c3ccccc3)CC2)CC1,O=C(C=Cc1ccc(Cl)c(Cl)c1)NC1CCC(N2CCC(C(CCN3CCC(N4CCN(CCO)CC4)CC3)c3ccc(Cl)c(Cl)c3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_51
71.0,O=C(C1CCCN1C1CCN(C2CCCCCCC2)CC1)N1CCC(N2CCNCC2)CC1,O=C(C1CCCN1C1CCN(C2CCCCCCC2)CC1)N1CCC(N2CCN(CCO)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_52
96.0,O=C(OCCN1CCN(C2CCN(C3CCCCCCC3)CC2)CC1)C1(C2=CC=CC2)CCCCCC1,O=C(OCCN1CCN(C2CCN(C3CCCCCCC3)CC2)CC1)C1(C2=CC=CC2)CCCCCC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_53
75.0,O=C1CCC(CCN2CC(N3CCN(C4CCNCC4)CC3)C2)(c2ccccc2)CN1C1CC1,O=C1CCC(CCN2CC(N3CCN(C4CCN(CCO)CC4)CC3)C2)(c2ccc(Cl)c(Cl)c2)CN1C1CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_54
52.0,O=C(CS(=O)(=O)Cc1coc(-c2ccccc2)n1)NCC1CCCN1,CCN1CCCC1CNC(=O)CS(=O)(=O)Cc1nc(-c2cccc(C)c2)oc1C,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_55
91.0,c1c(CNCC2CCCN2)noc1CN1CCN(C2CCCCC2)CC1,CCN1CCCC1CNCc1cc(CN2CCN(C3CCCCC3)CC2)on1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_56
60.0,c1cc(CNCC2CCCN2)cc(-c2cccc3c2OCO3)c1,CCN1CCCC1CNCc1ccc(SC)c(-c2cc(OC)c(Cl)c3c2OCO3)c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_57
82.0,c1ccc(C2CNC(OC3CCCCC3N3CCN(C4CCCCC4)CC3)c3ccccc32)cc1,CN1CC(c2ccccc2)c2ccccc2C1OC1CCCCC1N1CCN(C2CCCCC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_58
98.0,c1ccc(C2CC(N3CCN(CC4CCNCC4)CC3)c3ccccc32)cc1,Fc1ccc(C2CC(N3CCN(CC4CCNCC4)CC3)c3cc(F)ccc32)cc1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_59
96.0,c1ccc(C2CC(N3CCN(CCN4CCN(C5CCCCC5)CC4)CC3)c3ccccc32)cc1,Fc1ccc(C2CC(N3CCN(CCN4CCN(C5CCCCC5)CC4)CC3)c3ccc(Cl)cc32)cc1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_60
92.0,c1cc(N2CCN(C3CCC(N4CCNCC4)CC3)CC2)cc(N2CCN(C3CCN(C4CCCCC4)CC3)CC2)c1,OCCN1CCN(C2CCC(N3CCN(c4cccc(N5CCN(C6CCN(C7CCCCC7)CC6)CC5)c4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_61
79.0,O=C(C1CCCCN1C1CCN(C2CCCCCC2)CC1)N1CCN(C2CCC(N3CCNCC3)CC2)CC1,O=C(C1CCCCN1C1CCN(C2CCCCCC2)CC1)N1CCN(C2CCC(N3CCN(CCO)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_62
77.0,O=C(NC1CNCC1CNC(CC(=O)N1CCN(C2CCCCC2)CC1)c1ccc(C2CNC2)cc1)C1CC1,O=C(NC1CNCC1CNC(CC(=O)N1CCN(C2CCCCC2)CC1)c1ccc(C2CN(CCO)C2)cc1)C1CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_63
89.0,C1CN(C2CCC(N3CCC(N4CCNCC4)CC3)CC2)CCN1,OCCN1CCN(C2CCC(N3CCC(N4CCN(CCO)CC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_64
96.0,c1ccc2c(C3CCC(N4CCC(N5CCNCC5)CC4)CC3)c[nH]c2c1,NC(=O)c1ccc2[nH]cc(C3CCC(N4CCC(N5CCN(CCO)CC5)CC4)CC3)c2c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_65
91.0,c1ccc2c(C3CCC(N4CCN(C5CCC(N6CCNCC6)CC5)CC4)CC3)cccc2c1,COc1ccc2c(C3CCC(N4CCN(C5CCC(N6CCN(CCO)CC6)CC5)CC4)CC3)cccc2c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_66
98.0,c1ccc(C2CN(CC3CCCN3CC3CCCCC3)CC2N2CCN(C3CCNCC3)CC2)cc1,OCCN1CCC(N2CCN(C3CN(CC4CCCN4CC4CCCCC4)CC3c3ccccc3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_67
81.0,c1ccc2c(c1)CSc1ccccc1C2NCCN1CCN(C2CCC(N3CCNCC3)CC2)CC1,CN(CCN1CCN(C2CCC(N3CCN(CCO)CC3)CC2)CC1)C1c2ccccc2CSc2ccc(F)cc21,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_68
82.0,c1ccc2c(c1)CCc1ccccc1C2N1CCN(C2CCC(N3CCNCC3)CC2)CC1,OCCN1CCN(C2CCC(N3CCN(C4c5ccccc5CCc5ccccc54)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_69
93.0,O=C(C1CCCNC1)N1CCN(CC(CCCN2CCN(C3CCCCC3)CC2)N2CCC(N3CCN(C4CCN(C5CCCCCC5)CC4)CC3)CC2)C1,O=C(C1CCCN(CCO)C1)N1CCN(CC(CCCN2CCN(C3CCCCC3)CC2)N2CCC(N3CCN(C4CCN(C5CCCCCC5)CC4)CC3)CC2)C1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_70
93.0,c1cc(N2CCN(C3CCN(C4CCCCCC4)CC3)CC2)nnc1N1CCNCC1,CS(=O)(=O)NCCC1CCCC(N2CCC(N3CCN(c4ccc(N5CCN(CCO)CC5)nn4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_71
95.0,C1CCC(N2CCC(N3CCN(C4CCC(N5CCNCC5)CC4)CC3)CC2)CC1,CN(CCC1CN(C2CCC(N3CCN(CCO)CC3)CC2)CCN1C1CCN(C2CCCCC2)CC1)C(CO)CO,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_72
99.0,c1ccc(C2CC(N3CCN(C4CCC(N5CCNCC5)CC4)CC3)c3ccccc32)cc1,Cc1cc2c(cc1C)C(N1CCN(C3CCC(N4CCN(CCO)CC4)CC3)CC1)CC2c1cccc(Cl)c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_73
83.0,c1c(N2CCN(C3CCN(C4CCCCCCC4)CC3)CC2)[nH]c2c(c1=NCC1CCNCC1)CCCC2,OCCN1CCC(CN=c2cc(N3CCN(C4CCN(C5CCCCCCC5)CC4)CC3)[nH]c3c2CCCC3)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_74
94.0,O=C1NC2CCC34c5c(cccc5OC3C2C(=O)N2CCNCC2)CC1N(CC1CCC1)CC4N1CCN(C2CCCCCC2)CC1,O=C1NC2C(C(=O)N3CCN(CCO)CC3)C3Oc4c(O)ccc5c4C3(CC2[N+](=O)[O-])C(N2CCN(C3CCCCCC3)CC2)CN(CC2CCC2)C1C5,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_75
98.0,O=C(CN1CCNCC1)NN1CCN(C2CCN(C3CCCCCCC3)CC2)CC1,O=C(CN1CCN(CCO)CC1)NN1CCN(C2CCN(C3CCCCCCC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_76
70.0,c1ccc(C2CC(N3CCNCC3)Cc3ccccc32)cc1,OCCN1CCN(C2Cc3ccc(Cl)cc3C(c3ccccc3)C2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_77
73.0,O=C(Nc1ccc2c(c1)CCN(C1CCC1)CC2)c1cc(N2CCNCC2)c(N2CCN(C3CCN(C4CCC4)CC3)CC2)cn1,O=C(Nc1ccc2c(c1)CCN(C1CCC1)CC2)c1cc(N2CCN(CCO)CC2)c(N2CCN(C3CCN(C4CCC4)CC3)CC2)cn1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_78
71.0,c1c[nH]c(CN2CCNCC2CCN2CCN(C3CCCCC3)CC2)n1,OCCN1CCN(Cc2ncc[nH]2)C(CCN2CCN(C3CCCCC3)CC2)C1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_79
58.0,O=C(Cc1ccccc1)NC1C(=O)N2C(C(=O)N3CCN(C4CCN(C5CCCCC5)CC4)CC3)CCC12,NC(C(=O)NC1C(=O)N2C(C(=O)N3CCN(C4CCN(C5CCCCC5)CC4)CC3)CCC12)c1ccc(O)cc1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_80
85.0,c1ccc(C(CN2CCNCC2)N2CCC(N3CCN(C4CCN(C5CCCCCCC5)CC4)CC3)CC2)cc1,OCCN1CCN(CC(c2ccc(F)cc2)N2CCC(N3CCN(C4CCN(C5CCCCCCC5)CC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_81
61.0,O=C(NCC1CCCN1)c1cnn(-c2cc(-c3nccs3)ccn2)c1,Cc1cnc(-n2ncc(C(=O)NCC3CCCN3CCOCCO)c2C)cc1-c1nccs1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_82
66.0,O=S(=O)(NCCN1CC(c2ccccc2)C2(CCC(N3CCNCC3)CC2)C1)C1CCCCC1,O=S(=O)(NCCN1CC(c2cccc(F)c2)C2(CCC(N3CCN(CCO)CC3)CC2)C1)C1CCCCC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_83
81.0,O=C(NCC1CCCN1)c1cccc(OC2CCNCC2)c1,CCN1CCCC1CNC(=O)c1ccc(Cl)c(OC2CCN(CC(C)(C)C)CC2)c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_84
82.0,C1CCC(N2CCC(N3CCN(C4CCC(N5CCNCC5)CC4)CC3)CC2)CC1,OCCN1CCN(C2CCC(N3CCN(C4CCN(C5CCCCC5)CC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_85
98.0,O=C(NCC1CCCN1)c1ccc(=O)n(-c2cccc(C(=O)N3CCN(C4CCNCC4)CC3)c2)n1,CCN1CCCC1CNC(=O)c1ccc(=O)n(-c2ccc(O)c(C(=O)N3CCN(C4CCN(CCO)CC4)CC3)c2)n1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_86
93.0,O=C(CC1CCC(N2CCN(C(=O)C3CCCCN3C(=O)C3CCCN3C3CCN(C4CCCCCC4)CC3)CC2)CC1)N1CCNCC1,O=C(CC1CCC(N2CCN(C(=O)C3CCCCN3C(=O)C3CCCN3C3CCN(C4CCCCCC4)CC3)CC2)CC1)N1CCN(CCO)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_87
90.0,C1CCC(N2CCC(N3CCN(C4CCNCC4)CC3)CC2)CC1,OCCN1CCC(N2CCN(C3CCN(C4CCCCC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_88
68.0,N=c1[nH]nnc2c(-c3ccccc3)nn(CC(=O)NCC3CCCN3)c12,CCN1CCCC1CNC(=O)Cn1nc(-c2ccc(OC)cc2OC)c2nn[nH]c(=N)c21,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_89
66.0,C1CC(N2CCNCC2)CCN1,OCCC1CN(C2CCN(CCO)CC2)CCN1CCO,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_90
98.0,O=c1cc(-c2ccc(N3CCN(C4CCCCC4)CC3)cc2)oc2cc(OCCN3CCNCC3)ccc12,O=c1cc(-c2ccc(N3CCN(C4CCCCC4)CC3)cc2)oc2cc(OCCN3CCN(CCO)CC3)ccc12,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_91
75.0,C1CCCC(N2CCN(C3CCN(C4CCC(N5CCNCC5)CC4)CC3)CC2)CC1,OCCN1CCN(C2CCC(N3CCC(N4CCN(C5CCCCCC5)CC4)CC3)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_92
43.0,O=C1C(N2CCNCC2)CCN1C1CCC(N2CCNCC2)CC1,O=C1C(N2CCN(CCO)CC2)CCN1C1CCC(N2CCN(CCO)CC2)CC1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_93
92.0,O=C(NCC1CCCN1)c1cccc(-c2[nH]nc3ccc(-c4nc[nH]n4)cc23)c1,CCN1CCCC1CNC(=O)c1cccc(-c2[nH]nc3ccc(-c4nc[nH]n4)cc23)c1,0.800000011920929,0.800000011920929,0.800000011920929,fine-tune predictive component_94
